rank (for POS),lemma,POS,ipm,freq,% of concordance
151,эшчәнлек,n,"88,00611842",11551,"0,11551"
25,ни,cnjcoo,"87,48803",11483,"0,3151"
161,бат,v,"87,45755634",11479,"0,11479"
152,гасыр,n,"87,36612933",11467,"0,11467"
153,бар,n,"86,43662137",11345,"0,11345"
162,расла,v,"86,21567276",11316,"0,11316"
163,югалт,v,"86,17757817",11311,"0,11311"
154,сыйфат,n,"85,9337728",11279,"0,11279"
155,галим,n,"85,75091878",11255,"0,11255"
156,Габдулла,n,"85,43854315",11214,"0,11214"
157,министр,n,"85,43092423",11213,"0,11213"
158,уңыш,n,"85,27854588",11193,"0,11193"
164,кайтар,v,"85,22521346",11186,"0,11186"
159,ана,n,"85,04235943",11162,"0,11162"
165,суз,v,"84,97378917",11153,"0,11153"
166,сый,v,"84,78331623",11128,"0,11128"
160,төбәк,n,"84,53951086",11096,"0,11096"
167,искә ал,v,"84,49379736",11090,"0,1109"
161,заман,n,"84,34903792",11071,"0,11071"
162,бәйге,n,"84,33380008",11069,"0,11069"
163,вакыйга,n,"84,29570549",11064,"0,11064"
164,исәп,n,"84,2118974",11053,"0,11053"
26,я,cnjcoo,"84,15856",11046,"0,30311"
49,былтыр,adv,"83,99857",11025,"0,38724"
27,әгәр дә,cnjcoo,"83,93",11016,"0,30229"
165,киләчәк,n,"83,91475961",11014,"0,11014"
168,озат,v,"83,84618935",11005,"0,11005"
166,йөз,n,"83,78523801",10997,"0,10997"
169,килеп чык,v,"83,40429212",10947,"0,10947"
167,игътибар,n,"83,33572186",10938,"0,10938"
168,урынбасар,n,"83,29762728",10933,"0,10933"
50,кинәт,adv,"83,10715",10908,"0,38313"
170,өз,v,"82,97763273",10891,"0,10891"
169,аяк,n,"82,89382464",10880,"0,1088"
170,яшәүче,n,"82,77192195",10864,"0,10864"
171,вәкил,n,"82,65001927",10848,"0,10848"
172,автор,n,"82,25383555",10796,"0,10796"
173,хис,n,"82,20050313",10789,"0,10789"
171,бастыр,v,"81,96431668",10758,"0,10758"
19,берәү,prn,"81,78908",10735,"0,2483"
20,кайсы,prn,"81,77384",10733,"0,24825"
172,борчы,v,"81,70527348",10724,"0,10724"
51,киресенчә,adv,"81,6367",10715,"0,37635"
173,шулай ит,v,"81,46908703",10693,"0,10693"
13,яхшы,ij,"81,37766",10681,"2,55998"
174,үсеш,n,"81,3700411",10680,"0,1068"
174,той,v,"81,34718434",10677,"0,10677"
175,ти,v,"81,01957088",10634,"0,10634"
52,бергәләп,adv,"80,85195",10612,"0,37274"
176,утырт,v,"80,10530076",10514,"0,10514"
177,макта,v,"79,59483327",10447,"0,10447"
175,проект,n,"79,44245492",10427,"0,10427"
178,тукта,v,"79,38912249",10420,"0,1042"
176,Ислам,n,"79,3053144",10409,"0,10409"
53,якынча,adv,"79,20627",10396,"0,36515"
177,күләм,n,"78,29199834",10276,"0,10276"
178,очрашу,n,"77,95676596",10232,"0,10232"
179,урнаштыр,v,"77,70534168",10199,"0,10199"
180,төзе,v,"77,60629575",10186,"0,10186"
179,институт,n,"76,92059316",10096,"0,10096"
21,берни,prn,"76,63107",10058,"0,23264"
180,ат,n,"76,44822026",10034,"0,10034"
181,теләк,n,"75,96060952",9970,"0,0997"
182,уен,n,"75,75489875",9943,"0,09943"
181,сөй,v,"75,48823663",9908,"0,09908"
183,белгеч,n,"75,27490693",9880,"0,0988"
184,рәис,n,"75,07681507",9854,"0,09854"
185,дәрес,n,"75,07681507",9854,"0,09854"
186,бурыч,n,"75,0463394",9850,"0,0985"
54,көндез,adv,"74,97015",9840,"0,34562"
182,таләп ит,v,"74,51301516",9780,"0,0978"
187,рәхмәт,n,"74,40635031",9766,"0,09766"
188,саклау,n,"74,36825572",9761,"0,09761"
189,әби,n,"74,16254495",9734,"0,09734"
190,конкурс,n,"73,78921798",9685,"0,09685"
191,хокук,n,"73,67493421",9670,"0,0967"
183,ела,v,"73,65969638",9668,"0,09668"
192,хөрмәт,n,"73,40065318",9634,"0,09634"
193,төзелеш,n,"73,30160725",9621,"0,09621"
194,журнал,n,"73,1949424",9607,"0,09607"
184,җәлеп ит,v,"73,05780188",9589,"0,09589"
195,мәхәббәт,n,"72,76066409",9550,"0,0955"
196,мөрәҗәгать,n,"72,53971548",9521,"0,09521"
185,кайна,v,"72,44066955",9508,"0,09508"
197,хатын-кыз,n,"72,2044831",9477,"0,09477"
186,чагыштыр,v,"72,15115067",9470,"0,0947"
198,язмыш,n,"71,97591556",9447,"0,09447"
199,хан,n,"71,90734531",9438,"0,09438"
55,шунда ук,adv,"71,83116",9428,"0,33115"
200,тәртип,n,"71,64068319",9403,"0,09403"
28,югыйсә,cnjcoo,"71,59497",9397,"0,25786"
201,малай,n,"71,18354812",9343,"0,09343"
