lemma_POS,ipm_corpus1,ipm_corpus2,ipm_corpus3,dominant_corpus,LLR_corpus1_vs_corpus2,LLR_corpus1_vs_corpus3,LLR_corpus2_vs_corpus3
комиссариат_n,35.09482759,0.0,15.71526684,corpus1,16.928412349660803,6.391730687788748,8.023343612872141
каза_n,35.07758621,0.0,62.61867248,corpus3,16.920095762569197,9.73655226741576,31.969621070012995
отышлы_adj,35.03448276,0.0,25.41106129,corpus1,16.899304294840178,0.9837319697967084,12.973478488986574
елмаю_n,34.99137931,0.0,0.0,corpus1,16.878512827111155,46.30067257407449,0.0
ачылыш_n,34.94827586,0.0,13.25091908,corpus1,16.85772135938214,8.785536730625354,6.765184329838817
юклык_n,34.93103448,0.0,6.746656971,corpus1,16.84940477229053,19.106007540613454,3.444468851062293
теннис_n,34.89655172,0.0,23.83549469,corpus1,16.832771598107314,1.4467551732784862,12.169081570660708
сәламәтлек_n,398.1551724,64.73794374,409.4857189,corpus3,16.830472924930604,1.7154552626295327,23.9890691042135
туристлык_n,34.85344828,0.0,55.0236335,corpus3,16.811980135201917,5.951039710169308,28.092015420034883
рәхәт_n,34.85344828,0.0,0.0,corpus1,16.811980135201917,46.11816192191482,0.0
маңгай_n,34.84482759,0.0,0.0,corpus1,16.80782184165611,46.10675500532785,0.0
ярыш_n,394.7068966,64.04462223,355.2296691,corpus1,16.79816926610996,0.31848143957974173,13.818999904168535
чират_n,378.9655172,60.72277411,383.7110653,corpus3,16.794500633887537,1.1175832995944468,22.41934215281124
рейтинг_n,34.81034483,0.0,26.01704844,corpus1,16.791188667472895,0.7743225215917029,13.282861917148283
сувенир_n,34.81034483,0.0,9.695794449,corpus1,16.791188667472895,13.475813071330553,4.950134875603891
ахирәт_n,34.77586207,0.0,0.0,corpus1,16.774555493289682,46.01549967263199,0.0
территория_n,249.1896552,34.254654,377.5299964,corpus3,16.764336590649684,35.341722144378195,58.910593020370655
тартма_n,34.75,0.0,0.0,corpus1,16.76208061265227,45.98127892287104,0.0
аю_n,34.73275862,0.0,6.342665535,corpus1,16.75376402556066,19.815648105394224,3.2382132309263763
ата-баба_n,34.68103448,0.0,0.0,corpus1,16.728814264285838,45.8900235901752,0.0
командир_n,34.63793103,0.0,0.0,corpus1,16.708022796556815,45.832989007240286,0.0
күбесенчә_adv,22.88793103,22.05677,23.1083101,corpus3,16.700472257443284,0.062455020145419926,14.95469320739878
почетлы_adj,34.56896552,0.0,0.0,corpus1,16.674756453014005,45.74173368777646,0.0
беркөнне_adv,43.36206897,31.94612,0.0,corpus1,16.672171104665814,57.37678814337674,95.22161008207802
шул сәбәпле_cnjadv,34.56034483,0.0,0.0,corpus1,16.670598159468202,45.73032677118947,0.0
тауар_n,34.56034483,0.0,59.58873672,corpus3,16.670598159468202,8.435731804179156,30.422703924099046
бүләклә_v,313.1982759,132.2491735,270.5530643,corpus1,16.653514575129407,0.9836660310448408,22.38854605207412
граждан_n,263.7586207,37.23365083,317.7796631,corpus3,16.648883860189372,9.086877132900256,34.885232345762965
җиләк_n,34.39655172,0.0,0.0,corpus1,16.59159058209793,45.51359535603682,0.0
айдаш_n,34.38793103,0.0,0.0,corpus1,16.587432288552122,45.50218843944984,0.0
токым_n,34.35344828,0.0,0.0,corpus1,16.570799119192532,45.45656078633395,0.0
сектор_n,34.35344828,0.0,19.51278633,corpus1,16.570799119192532,3.245884628673675,9.962146437861206
берәмлек_n,168.2844828,19.14634019,190.5223609,corpus3,16.53549733977882,3.1737457190190668,26.200676322918724
психотроп_adj,34.27586207,0.0,0.0,corpus1,16.533374477280297,45.35389853705111,0.0
фитнес_n,34.25862069,0.0,0.0,corpus1,16.525057890188688,45.331084703877146,0.0
реформа_n,34.24137931,0.0,22.54272209,corpus1,16.516741303097078,1.7357421809863531,11.509063583775161
зыян күрүче_n,34.24137931,0.0,0.0,corpus1,16.516741303097078,45.30827087070318,0.0
мөлкәт_n,34.22413793,0.0,10.70577304,corpus1,16.50842471600547,11.483498993161804,5.46577392645423
усал_adj,34.21551724,0.0,5.696279239,corpus1,16.504266422459665,20.82428807196137,2.908204239525775
темп_n,34.1637931,0.0,0.0,corpus1,16.479316661184843,45.20560862142035,0.0
концепция_n,34.1637931,0.0,9.049408153,corpus1,16.479316661184843,13.988172432291469,4.620125884203292
үзаллы_adj,34.12931034,0.0,0.0,corpus1,16.46268348700163,45.15998095507243,0.0
төркем_n,513.3189655,90.13179646,669.4138084,corpus3,16.451380972580083,31.88553846997533,57.08055331711947
кыз бала_n,34.09482759,0.0,0.0,corpus1,16.446050317642033,45.11435330195651,0.0
каршыла_v,45.10344828,32.56325427,0.0,corpus1,16.44021009234745,59.680985201322834,97.0610985340787
эссе_adj,34.0,0.0,14.98808225,corpus1,16.400309088638192,6.40706066856985,7.652083493972655
куак_n,33.97413793,0.0,6.665858684,corpus1,16.38783420800078,18.356151038150582,3.403217727137218
сәясәт_n,237.9051724,32.38801917,390.4981214,corpus3,16.369211858829253,47.8566250440073,67.24581596024187
металл_n,33.9137931,0.0,32.23851654,corpus1,16.35872615318015,0.002993876781357152,16.459198459889585
күрсәткеч_n,226.8362069,30.25472221,312.8105684,corpus3,16.34716412954927,19.822857103782184,45.19140764114199
бүтән_post,33.88793103,0.0,0.0,corpus1,16.346251272542737,44.84058730386897,0.0
кичен_adv,37.43965517,28.97474,29.61257221,corpus1,16.335372192721795,0.48278693019691765,20.27105588203257
фидакарь_n,33.8362069,0.0,25.08786814,corpus1,16.321301516091538,0.803275109040559,12.808473992265194
кунак_n,521.7758621,92.21176099,317.5776674,corpus1,16.29605147935932,37.94884630481795,0.0001739523707818269
өяз_n,33.73275862,0.0,9.13020644,corpus1,16.27140199354189,13.488355875411507,4.661377008128367
синсез_prn,33.68103448,0.0,0.0,corpus1,16.246452232267067,44.566821319013435,0.0
ашлама_n,33.68103448,0.0,18.94719832,corpus1,16.246452232267067,3.289896291559332,9.673388569875137
трамвай_n,33.67241379,0.0,21.33074779,corpus1,16.242293938721264,2.0581337531531396,10.890296727451759
пристав_n,33.63793103,0.0,0.0,corpus1,16.225660764538045,44.50978673607853,0.0
теләктәшлек_n,33.61206897,0.0,50.86252171,corpus3,16.213185888724258,4.740500865727213,25.967582533043352
гөмбә_n,33.60344828,0.0,4.645901507,corpus1,16.209027595178455,22.915832428165125,2.371939627989258
егерме_num,33.57758621,0.0,53.65006262,corpus3,16.196552714541042,6.037334225454039,27.390746312798047
бүлек_n,780.362069,150.816476,797.9638832,corpus3,16.18716421413494,2.946908749264267,25.91918033434331
моңдый_prn,33.55172414,0.0,0.0,corpus1,16.18407783390363,44.39571758344073,0.0
хокуклы_adj,33.54310345,0.0,40.23754696,corpus3,16.179919540357822,1.1133199938414826,20.543059732045812
ач_v,976.7327586,344.6188857,956.1265301,corpus1,16.17581773230232,0.884742413820625,11.269749065023774
үстер_v,269.2844828,116.4475382,253.1814326,corpus1,16.15162617847409,0.0007882099986603608,15.743011462983809
тәхет_n,33.46551724,0.0,0.0,corpus1,16.142494898445587,44.28164841757092,0.0
шәрык_n,33.42241379,0.0,33.24849513,corpus1,16.121703430716572,0.057817062024499544,16.974837510229396
кирпеч_n,33.42241379,0.0,12.96812508,corpus1,16.121703430716572,8.072386516974207,6.620805398398505
прибор_n,33.42241379,0.0,14.3820951,corpus1,16.121703430716572,6.6263747975845515,7.34270006581096
корбан_n,176.1637931,20.8682156,181.6749485,corpus3,16.11663896577013,0.8059922080671029,20.590993249575256
әкренләп_adv,35.36206897,27.83953,22.42152466,corpus1,16.105453194263344,2.152375219820172,25.33687460225741
предмет_n,33.36206897,0.0,8.524219287,corpus1,16.092595380719565,14.192917546906797,4.35199357843503
кайдан_adv,47.12931034,33.18039,131.2164182,corpus3,16.056133292529246,46.83818155652274,0.5321035734572854
география_n,33.27586207,0.0,19.31079061,corpus1,16.051012445261527,2.9120802235929713,9.859018626772158
берүз_prn,33.22413793,0.0,0.0,corpus1,16.0260626839867,43.96225476636745,0.0
смена_n,33.21551724,0.0,8.807013291,corpus1,16.021904390440895,13.585190474454713,4.49637251191752
тан_n,33.19827586,0.0,0.0,corpus1,16.013587803349292,43.928034016606524,0.0
иреш_v,438.0344828,172.850386,381.2063184,corpus1,15.969105950961477,1.1432518753552579,22.064485908918556
лаборатор_adj,33.10344828,0.0,0.0,corpus1,15.967846579169068,43.80255794738175,0.0
зар_n,33.09482759,0.0,0.0,corpus1,15.963688285623263,43.79115103079476,0.0
алгы_adj,33.06034483,0.0,18.98759746,corpus1,15.947055111440047,3.003915076817769,9.694014130050775
кыңгыр_n,33.05172414,0.0,0.0,corpus1,15.942896817894242,43.73411644785985,0.0
урам_n,593.862069,108.782907,663.67713,corpus3,15.940338130446747,9.646776908464815,35.13532389890288
гаммәви_adj,33.04310345,0.0,58.01317012,corpus3,15.938738524348437,8.630622216038109,29.618307005773197
бүген_n,33.02586207,0.0,0.0,corpus1,15.930421937256833,43.69989569809891,0.0
исбатла_v,33.00862069,0.0,0.0,corpus1,15.922105350165225,43.67708186492495,0.0
меңәрлә_v,33.0,0.0,0.0,corpus1,15.91794705661942,43.665674948337966,0.0
администрация_n,32.98275862,0.0,21.29034864,corpus1,15.909630469527812,1.8448886093421244,10.869671162170683
кайчак_adv,39.01724138,29.39378,0.0,corpus1,15.895785816722135,51.62770240848248,87.61386540833074
сүрә_n,32.93103448,0.0,0.0,corpus1,15.88468070825299,43.57441961564213,0.0
